ID,quality_score,Owner,Country_of_Origin,Farm_Name,Company,Region,Producer,Number_of_Bags,Bag_Weight,In-Country_Partner,Harvest_Year,Grading_Date,Variety,Status,Processing_Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Cupper_Points,Total_Cup_Points,Moisture,Category_One_Defects,Quakers,Color,Category_Two_Defects,Expiration,Certification_Body,Certification_Address,Certification_Contact,Altitude_Units,Lower_Altitude,Upper_Altitude
0,90.58,metad plc,Ethiopia,METAD PLC,METAD Agricultural Developmet plc,GUJI-HAMBELA/GOYO,METAD PLC,300,60.0,METAD Agricultural Development plc,2014,"April 4th, 2015",,Completed,Washed / Wet,8.67,8.83,8.67,8.75,8.5,8.42,10.0,10.0,10.0,8.75,Sample  90.58,12 %,0 full defects,0.0,Green,0 full defects,"April 3rd, 2016",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196",meters,1950,2200
1,89.92,metad plc,Ethiopia,METAD PLC,METAD Agricultural Developmet plc,GUJI-HAMBELA/ALAKA,METAD PLC,300,60.0,METAD Agricultural Development plc,2014,"April 4th, 2015",Other,Completed,Washed / Wet,8.75,8.67,8.5,8.58,8.42,8.42,10.0,10.0,10.0,8.58,Sample  89.92,12 %,0 full defects,0.0,Green,1 full defects,"April 3rd, 2016",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196",meters,1950,2200
2,89.75,Grounds for Health Admin,Guatemala,"San Marcos Barrancas ""San Cristobal Cuch",,,,5,1.0,Specialty Coffee Association,,"May 31st, 2010",Bourbon,Completed,,8.42,8.5,8.42,8.42,8.33,8.42,10.0,10.0,10.0,9.25,Sample  89.75,0 %,0 full defects,0.0,,0 full defects,"May 31st, 2011",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,meters,1600,1800
3,89.0,Yidnekachew Dabessa,Ethiopia,Yidnekachew Dabessa Coffee Plantation,Yidnekachew Debessa Coffee Plantation,Oromia,Yidnekachew Dabessa Coffee Plantation,320,60.0,METAD Agricultural Development plc,2014,"March 26th, 2015",,Completed,Natural / Dry,8.17,8.58,8.42,8.42,8.5,8.25,10.0,10.0,10.0,8.67,Sample  89.00,11 %,0 full defects,0.0,Green,2 full defects,"March 25th, 2016",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196",meters,1800,2200
4,88.83,metad plc,Ethiopia,METAD PLC,METAD Agricultural Developmet plc,GUJI-HAMBELA/BISHAN FUGU,METAD PLC,300,60.0,METAD Agricultural Development plc,2014,"April 4th, 2015",Other,Completed,Washed / Wet,8.25,8.5,8.25,8.5,8.42,8.33,10.0,10.0,10.0,8.58,Sample  88.83,12 %,0 full defects,0.0,Green,2 full defects,"April 3rd, 2016",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196",meters,1950,2200
5,88.83,Ji-Ae Ahn,Brazil,,,,,100,30.0,Specialty Coffee Institute of Asia,2013,"September 3rd, 2013",,Completed,Natural / Dry,8.58,8.42,8.42,8.5,8.25,8.33,10.0,10.0,10.0,8.33,Sample  88.83,11 %,0 full defects,0.0,Bluish-Green,1 full defects,"September 3rd, 2014",Specialty Coffee Institute of Asia,"3F, 259-1 Ulgiro-3-ga, Joong-gu, Seoul, South Korea, Zip code:100-847","Sung-Yong Steven Kil - 82-10-7912-1456-English, 82-2269-1456-Korean",,,
6,88.75,Hugo Valdivia,Peru,,Richmond Investment-coffee department,,HVC,100,69.0,Specialty Coffee Institute of Asia,2012,"September 17th, 2012",Other,Completed,Washed / Wet,8.42,8.5,8.33,8.5,8.25,8.25,10.0,10.0,10.0,8.5,Sample  88.75,11 %,0 full defects,0.0,Bluish-Green,0 full defects,"September 17th, 2013",Specialty Coffee Institute of Asia,"3F, 259-1 Ulgiro-3-ga, Joong-gu, Seoul, South Korea, Zip code:100-847","Sung-Yong Steven Kil - 82-10-7912-1456-English, 82-2269-1456-Korean",,,
7,88.67,Ethiopia Commodity Exchange,Ethiopia,Aolme,,Oromia,Bazen Agricultural & Industrial Dev't Plc,300,60.0,Ethiopia Commodity Exchange,,"September 2nd, 2010",,Completed,,8.25,8.33,8.5,8.42,8.33,8.5,10.0,10.0,9.33,9.0,Sample  88.67,3 %,0 full defects,0.0,,0 full defects,"September 2nd, 2011",Ethiopia Commodity Exchange,"Al-Sam Tower 2, 3rd Floor Lideta, Addis Ababa, Ethiopia",- +251 11 554 7001,meters,1570,1700
8,88.42,Ethiopia Commodity Exchange,Ethiopia,Aolme,,Oromiya,Bazen Agricultural & Industrial Dev't Plc,300,60.0,Ethiopia Commodity Exchange,,"September 2nd, 2010",,Completed,,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10.0,9.33,8.67,Sample  88.42,3 %,0 full defects,0.0,,0 full defects,"September 2nd, 2011",Ethiopia Commodity Exchange,"Al-Sam Tower 2, 3rd Floor Lideta, Addis Ababa, Ethiopia",- +251 11 554 7001,meters,1570,1700
9,88.25,Diamond Enterprise Plc,Ethiopia,Tulla Coffee Farm,DIAMOND ENTERPRISE PLC,"SNNP/Kaffa Zone,GimboWereda",Diamond Enterprise Plc,50,60.0,METAD Agricultural Development plc,2014,"March 30th, 2015",Other,Completed,Natural / Dry,8.08,8.58,8.5,8.5,7.67,8.42,10.0,10.0,10.0,8.5,Sample  88.25,10 %,0 full defects,0.0,Green,4 full defects,"March 29th, 2016",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196",meters,1795,1850
