,Calendar_years,Colombia,Dominican_Republic,El_Salvador,Guatemala,Honduras,India,Uganda,Brazil,Ethiopia,Togo
0,1990,69.52,66.06,50.56,54.58,50.35,66.75,15.29,54.32,61.09,29.23
1,1991,67.13,62.64,44.54,57.53,56.12,61.53,29.64,43.99,68.19,28.64
2,1992,54.57,46.56,30.91,40.23,40.14,53.96,20.0,45.2,61.21,29.83
3,1993,50.12,53.12,35.35,41.43,37.54,57.92,25.02,52.88,61.72,22.64
4,1994,85.99,112.26,99.26,75.32,81.57,78.41,75.5,114.57,109.55,25.99
5,1995,99.62,109.26,100.51,99.34,102.55,84.72,68.26,115.52,115.02,61.41
6,1996,93.56,87.67,75.02,83.77,67.66,78.32,53.0,96.35,67.74,62.58
7,1997,133.17,166.41,125.14,97.25,116.88,130.18,80.31,145.41,91.06,44.89
8,1998,102.08,95.25,85.05,102.45,93.26,99.47,78.75,105.25,91.86,49.93
9,1999,86.38,74.18,56.92,79.24,61.48,67.44,46.56,74.07,65.64,43.22
10,2000,74.96,68.01,44.55,70.37,54.29,63.75,41.0,65.98,56.42,22.92
11,2001,57.95,42.04,17.63,45.35,34.32,43.82,27.51,37.05,43.78,15.32
12,2002,52.57,50.83,21.84,49.61,37.06,39.61,27.52,30.91,26.88,18.27
13,2003,48.34,49.57,25.69,48.42,41.71,43.45,28.64,42.82,34.57,22.77
14,2004,60.83,75.7,39.3,66.91,50.22,58.32,35.99,56.33,48.85,21.91
15,2005,89.22,87.92,67.1,92.46,78.69,96.53,57.86,87.09,64.23,27.92
16,2006,89.81,86.29,67.49,91.19,80.82,95.86,55.34,87.02,58.32,44.72
17,2007,100.05,87.13,75.24,98.31,81.63,108.03,65.01,98.3,69.83,56.72
18,2008,114.22,101.45,86.05,111.03,90.56,121.7,73.32,109.26,71.71,76.94
19,2009,138.96,106.04,79.19,109.64,83.72,136.89,60.54,100.8,77.06,44.71
20,2010,180.55,139.13,109.88,144.77,125.16,151.08,87.23,134.0,85.46,42.36
21,2011,239.68,191.07,186.74,212.41,200.02,228.46,147.03,224.26,145.46,74.14
22,2012,166.69,147.81,120.12,165.98,141.15,161.98,93.68,152.29,102.79,68.5
23,2013,113.91,140.98,95.28,127.06,101.8,117.06,70.03,102.14,73.3,66.56
24,2014,159.71,183.56,117.01,152.83,118.94,175.65,103.7,134.7,83.24,59.88
25,2015,119.4,171.01,87.45,139.22,110.97,157.1,81.27,104.49,76.03,59.55
26,2016,123.56,177.19,89.53,135.47,93.17,132.21,71.09,107.83,87.31,65.73
27,2017,125.76,173.36,87.62,134.12,90.77,135.75,77.0,110.48,81.51,68.73
28,2018,113.52,153.61,74.53,122.18,84.04,110.12,68.25,90.78,70.68,70.93
