,Calendar years,Colombia,Tanzania,Tanzania,Burundi,Burundi,Cameroon,Cameroon,Democratic Republic of Congo,Democratic Republic of Congo,Dominican Republic,Ecuador,Ecuador,El Salvador,Guatemala,Honduras,India,India,Madagascar,Madagascar,Papua New Guinea,Papua New Guinea,Sri Lanka,Sri Lanka,Uganda,Uganda,Angola,Angola,Brazil,Brazil,Ethiopia,Indonesia,Indonesia,Philippines,Philippines,Thailand,Thailand,Viet Nam,Viet Nam,Angola,Angola,Brazil,Brazil,Burundi,Burundi,Cameroon,Cameroon,Democratic Republic of Congo,Democratic Republic of Congo,Ecuador,Ecuador,India,India,Indonesia,Indonesia,Madagascar,Madagascar,Papua New Guinea,Papua New Guinea,Philippines,Philippines,Sri Lanka,Sri Lanka,Tanzania,Tanzania,Thailand,Thailand,Togo,Uganda,Uganda,Viet Nam,Viet Nam
0,1990,69.52,40.82,17.01,58.02,,32.29,28.33,,4.52,66.06,35.21,19.06,50.56,54.58,50.35,66.75,44.35,,32.45,65.5,26.6,,26.9,15.29,7.54,,85.66,54.32,34.85,61.09,,29.68,,34.23,,37.72,,36.92,,85.66,54.32,34.85,58.02,,32.29,28.33,,4.52,35.21,19.06,66.75,44.35,,29.68,,32.45,65.5,26.6,,34.23,,26.9,40.82,17.01,,37.72,29.23,15.29,7.54,,36.92
1,1991,67.13,49.5,17.11,55.02,,28.23,25.01,,,62.64,36.18,17.84,44.54,57.53,56.12,61.53,40.65,,22.76,64.53,29.48,,25.29,29.64,11.84,,91.12,43.99,27.49,68.19,,29.92,,34.61,,18.37,,30.73,,91.12,43.99,27.49,55.02,,28.23,25.01,,,36.18,17.84,61.53,40.65,,29.92,,22.76,64.53,29.48,,34.61,,25.29,49.5,17.11,,18.37,28.64,29.64,11.84,,30.73
2,1992,54.57,49.16,14.84,59.23,47.16,28.76,24.25,,,46.56,29.08,23.31,30.91,40.23,40.14,53.96,39.77,,22.62,57.96,39.1,,31.85,20.0,8.95,,44.92,45.2,27.59,61.21,,24.92,55.74,42.48,,20.3,,30.71,,44.92,45.2,27.59,59.23,47.16,28.76,24.25,,,29.08,23.31,53.96,39.77,,24.92,,22.62,57.96,39.1,55.74,42.48,,31.85,49.16,14.84,,20.3,29.83,20.0,8.95,,30.71
3,1993,50.12,38.28,11.88,58.27,41.8,23.25,17.4,,,53.12,27.66,19.52,35.35,41.43,37.54,57.92,44.21,,36.27,84.92,54.8,,28.89,25.02,11.77,,11.87,52.88,35.54,61.72,115.53,28.49,54.2,46.45,,18.29,,34.53,,11.87,52.88,35.54,58.27,41.8,23.25,17.4,,,27.66,19.52,57.92,44.21,115.53,28.49,,36.27,84.92,54.8,54.2,46.45,,28.89,38.28,11.88,,18.29,22.64,25.02,11.77,,34.53
4,1994,85.99,62.16,24.0,60.68,41.45,88.32,29.85,,,112.26,76.42,63.29,99.26,75.32,81.57,78.41,56.46,,43.99,149.08,95.64,71.99,71.99,75.5,41.66,,,114.57,85.43,109.55,173.51,91.38,99.62,94.66,,18.79,,86.01,,,114.57,85.43,60.68,41.45,88.32,29.85,,,76.42,63.29,78.41,56.46,173.51,91.38,,43.99,149.08,95.64,99.62,94.66,71.99,71.99,62.16,24.0,,18.79,25.99,75.5,41.66,,86.01
5,1995,99.62,86.76,44.61,56.69,42.34,85.26,52.08,51.12,28.35,109.26,173.3,143.62,100.51,99.34,102.55,84.72,66.53,87.35,58.73,83.98,66.31,98.99,93.24,68.26,59.79,,,115.52,97.5,115.02,,95.67,106.3,104.31,,36.84,,95.18,,,115.52,97.5,56.69,42.34,85.26,52.08,51.12,28.35,173.3,143.62,84.72,66.53,,95.67,87.35,58.73,83.98,66.31,106.3,104.31,98.99,93.24,86.76,44.61,,36.84,61.41,68.26,59.79,,95.18
6,1996,93.56,62.53,32.2,51.97,40.45,80.95,51.02,68.04,32.89,87.67,141.13,97.51,75.02,83.77,67.66,78.32,56.67,94.72,61.06,95.02,63.75,,,53.0,37.44,,,96.35,69.78,67.74,,58.35,76.31,68.91,,43.35,,57.42,,,96.35,69.78,51.97,40.45,80.95,51.02,68.04,32.89,141.13,97.51,78.32,56.67,,58.35,94.72,61.06,95.02,63.75,76.31,68.91,,,62.53,32.2,,43.35,62.58,53.0,37.44,,57.42
7,1997,133.17,118.52,92.48,52.79,40.19,43.64,38.9,85.05,45.36,166.41,167.92,61.19,125.14,97.25,116.88,130.18,76.3,58.74,49.48,153.74,75.43,,,80.31,41.69,,,145.41,77.86,91.06,112.26,58.43,79.74,72.91,,21.85,,56.14,,,145.41,77.86,52.79,40.19,43.64,38.9,85.05,45.36,167.92,61.19,130.18,76.3,112.26,58.43,58.74,49.48,153.74,75.43,79.74,72.91,,,118.52,92.48,,21.85,44.89,80.31,41.69,,56.14
8,1998,102.08,90.7,28.19,52.22,35.36,66.83,36.46,63.14,44.28,95.25,110.6,66.63,85.05,102.45,93.26,99.47,75.62,50.35,48.25,104.85,59.15,,,78.75,40.02,,,105.25,77.75,91.86,99.41,59.37,81.87,76.66,,27.33,,65.87,,,105.25,77.75,52.22,35.36,66.83,36.46,63.14,44.28,110.6,66.63,99.47,75.62,99.41,59.37,50.35,48.25,104.85,59.15,81.87,76.66,,,90.7,28.19,,27.33,49.93,78.75,40.02,,65.87
9,1999,86.38,65.88,23.52,46.57,,88.41,31.3,,88.18,74.18,78.05,47.48,56.92,79.24,61.48,67.44,57.61,43.49,38.05,60.82,37.7,,,46.56,31.52,,,74.07,56.93,65.64,,46.55,64.89,60.14,,31.31,,50.7,,,74.07,56.93,46.57,,88.41,31.3,,88.18,78.05,47.48,67.44,57.61,,46.55,43.49,38.05,60.82,37.7,64.89,60.14,,,65.88,23.52,,31.31,43.22,46.56,31.52,,50.7
10,2000,74.96,54.32,15.29,37.35,,33.22,30.44,,45.04,68.01,65.97,32.7,44.55,70.37,54.29,63.75,35.87,155.83,109.0,49.28,21.89,,,41.0,19.92,,51.74,65.98,41.53,56.42,68.41,22.4,37.04,34.2,,12.35,,26.55,,51.74,65.98,41.53,37.35,,33.22,30.44,,45.04,65.97,32.7,63.75,35.87,68.41,22.4,155.83,109.0,49.28,21.89,37.04,34.2,,,54.32,15.29,,12.35,22.92,41.0,19.92,,26.55
11,2001,57.95,34.86,5.21,32.19,,19.09,21.13,,7.95,42.04,27.28,11.26,17.63,45.35,34.32,43.82,23.44,64.59,51.66,32.97,12.0,,,27.51,10.57,,18.61,37.05,19.35,43.78,53.61,13.57,49.36,23.63,,12.75,,15.12,,18.61,37.05,19.35,32.19,,19.09,21.13,,7.95,27.28,11.26,43.82,23.44,53.61,13.57,64.59,51.66,32.97,12.0,49.36,23.63,,,34.86,5.21,,12.75,15.32,27.51,10.57,,15.12
12,2002,52.57,25.93,4.3,29.17,,24.56,16.05,,2.96,50.83,27.36,12.0,21.84,49.61,37.06,39.61,22.08,72.5,55.7,31.66,13.31,,,27.52,12.78,,10.71,30.91,19.99,26.88,59.66,14.65,21.74,21.45,,6.44,,18.14,,10.71,30.91,19.99,29.17,,24.56,16.05,,2.96,27.36,12.0,39.61,22.08,59.66,14.65,72.5,55.7,31.66,13.31,21.74,21.45,,,25.93,4.3,,6.44,18.27,27.52,12.78,,18.14
13,2003,48.34,24.78,6.72,24.88,,35.27,22.26,,5.61,49.57,31.06,21.86,25.69,48.42,41.71,43.45,28.6,86.58,55.92,36.99,17.31,,,28.64,20.81,,6.61,42.82,31.61,34.57,42.05,16.61,60.63,32.65,,13.25,,27.94,,6.61,42.82,31.61,24.88,,35.27,22.26,,5.61,31.06,21.86,43.45,28.6,42.05,16.61,86.58,55.92,36.99,17.31,60.63,32.65,,,24.78,6.72,,13.25,22.77,28.64,20.81,,27.94
14,2004,60.83,26.37,7.55,27.36,,,,,,75.7,51.19,29.75,39.3,66.91,50.22,58.32,30.8,46.82,19.74,41.1,22.16,,,35.99,26.26,,9.92,56.33,34.85,48.85,80.62,24.17,66.23,31.89,,12.83,,26.0,,9.92,56.33,34.85,27.36,,,,,,51.19,29.75,58.32,30.8,80.62,24.17,46.82,19.74,41.1,22.16,66.23,31.89,,,26.37,7.55,,12.83,21.91,35.99,26.26,,26.0
