Calendar years,,Colombian Milds,Colombia,Kenya,Tanzania,,Other Milds,Bolivia (Plurinational State of),Burundi,Cameroon,Costa Rica,Cuba,Democratic Republic of Congo,Dominican Republic,Ecuador,El Salvador,Guatemala,Haiti,Honduras,India,Jamaica,Madagascar,Malawi,Mexico,Nicaragua,Panama,Papua New Guinea,Peru,Rwanda,Sri Lanka,Uganda,Venezuela,Zambia,Zimbabwe,,Brazilian Naturals,Angola,Brazil,Ethiopia,Indonesia,Philippines,Thailand,Viet Nam, ,Robustas,Angola,Benin,Brazil,Burundi,Cameroon,Central African Republic,Congo,Côte d'Ivoire,Democratic Republic of Congo,Ecuador,Gabon,Ghana,Guinea,India,Indonesia,Liberia,Madagascar,Nigeria,Papua New Guinea,Philippines,Sierra Leone,Sri Lanka,Tanzania,Thailand,Togo,Trinidad & Tobago,Uganda,Viet Nam
1990,,,69.52,60.57,40.82,,,51.78,58.02,32.29,58.49,171.43,,66.06,35.21,50.56,54.58,41.28,50.35,66.75,171.55,,84.87,79.56,,49.30,65.50,90.37,74.20,,15.29,,89.75,,,,,54.32,61.09,,,,,,,85.66,53.76,34.85,,28.33,36.75,19.21,33.41,4.52,19.06,43.43,,34.37,44.35,29.68,,32.45,70.52,26.60,34.23,26.17,26.90,17.01,37.72,29.23,62.59,7.54,36.92
1991,,,67.13,50.68,49.50,,,52.42,55.02,28.23,52.73,171.43,,62.64,36.18,44.54,57.53,23.99,56.12,61.53,227.42,,70.94,86.56,44.14,47.25,64.53,,50.38,,29.64,,70.32,,,,,43.99,68.19,,,,,,,91.12,22.90,27.49,,25.01,36.64,18.55,32.27,,17.84,43.58,,30.25,40.65,29.92,,22.76,59.03,29.48,34.61,,25.29,17.11,18.37,28.64,62.59,11.84,30.73
1992,,,54.57,28.95,49.16,,,43.53,59.23,28.76,49.91,180.00,,46.56,29.08,30.91,40.23,8.75,40.14,53.96,182.51,,48.68,58.25,44.14,44.37,57.96,31.97,48.91,,20.00,,34.96,,,,,45.20,61.21,,55.74,,,,,44.92,24.01,27.59,47.16,24.25,33.93,19.75,31.76,,23.31,51.52,,23.75,39.77,24.92,,22.62,39.50,39.10,42.48,,31.85,14.84,20.30,29.83,69.29,8.95,30.71
1993,,,50.12,47.64,38.28,,,27.33,58.27,23.25,54.27,188.57,,53.12,27.66,35.35,41.43,14.49,37.54,57.92,255.54,,57.34,79.31,,51.77,84.92,32.44,45.21,,25.02,,54.49,,,,,52.88,61.72,115.53,54.20,,,,,11.87,,35.54,41.80,17.40,23.89,18.44,27.70,,19.52,48.11,,27.47,44.21,28.49,,36.27,36.08,54.80,46.45,,28.89,11.88,18.29,22.64,72.20,11.77,34.53
1994,,,85.99,152.61,62.16,,,79.92,60.68,88.32,81.36,203.53,,112.26,76.42,99.26,75.32,25.87,81.57,78.41,290.60,,92.41,157.91,,80.12,149.08,88.14,49.42,71.99,75.50,,88.27,,,,,114.57,109.55,173.51,99.62,,,,,,,85.43,41.45,29.85,32.74,8.77,29.78,,63.29,27.76,,61.33,56.46,91.38,,43.99,51.55,95.64,94.66,,71.99,24.00,18.79,25.99,64.14,41.66,86.01
1995,,,99.62,140.17,86.76,,,76.99,56.69,85.26,88.23,188.60,51.12,109.26,173.30,100.51,99.34,36.30,102.55,84.72,284.24,87.35,125.30,162.79,,97.38,83.98,95.84,54.93,98.99,68.26,,69.26,,,,,115.52,115.02,,106.30,,,,,,,97.50,42.34,52.08,57.19,27.28,59.40,28.35,143.62,40.92,,92.26,66.53,95.67,,58.73,,66.31,104.31,,93.24,44.61,36.84,61.41,63.89,59.79,95.18
1996,,,93.56,110.04,62.53,,,57.18,51.97,80.95,92.78,188.57,68.04,87.67,141.13,75.02,83.77,28.14,67.66,78.32,332.11,94.72,95.66,123.44,,100.91,95.02,77.70,55.44,,53.00,,81.47,,,,,96.35,67.74,,76.31,,,,,,,69.78,40.45,51.02,45.07,14.19,57.70,32.89,97.51,39.91,,,56.67,58.35,,61.06,,63.75,68.91,,,32.20,43.35,62.58,63.25,37.44,57.42
1997,,,133.17,184.00,118.52,,,100.07,52.79,43.64,98.26,188.57,85.05,166.41,167.92,125.14,97.25,29.37,116.88,130.18,286.78,58.74,108.75,136.12,,126.55,153.74,105.28,56.42,,80.31,,121.89,,,,,145.41,91.06,112.26,79.74,,,,,,,77.86,40.19,38.90,38.36,,39.29,45.36,61.19,37.90,,,76.30,58.43,,49.48,,75.43,72.91,,,92.48,21.85,44.89,60.63,41.69,56.14
1998,,,102.08,179.90,90.70,,,131.09,52.22,66.83,92.66,188.57,63.14,95.25,110.60,85.05,102.45,30.95,93.26,99.47,215.45,50.35,101.52,101.69,,111.76,104.85,75.43,55.65,,78.75,,130.83,,,,,105.25,91.86,99.41,81.87,,,,,,,77.75,35.36,36.46,37.86,,40.14,44.28,66.63,50.26,,,75.62,59.37,,48.25,,59.15,76.66,,,28.19,27.33,49.93,60.29,40.02,65.87
1999,,,86.38,105.19,65.88,,,98.71,46.57,88.41,79.55,188.57,,74.18,78.05,56.92,79.24,22.90,61.48,67.44,177.27,43.49,77.64,80.90,,,60.82,59.73,45.33,,46.56,,119.70,,,,,74.07,65.64,,64.89,,,,,,,56.93,,31.30,29.71,,38.81,88.18,47.48,59.01,,,57.61,46.55,,38.05,,37.70,60.14,,,23.52,31.31,43.22,79.23,31.52,50.70
