,Kenya,Tanzania,Bolivia (Plurinational State of),Burundi,Cameroon,Costa Rica,Cuba,Democratic Republic of Congo,Ecuador,Haiti,Jamaica,Madagascar,Malawi,Mexico,Nicaragua,Panama,Papua New Guinea,Peru,Rwanda,Sri Lanka,Zambia,Angola,Indonesia,Philippines,Thailand,Viet Nam,Angola.1,Benin,Burundi.1,Cameroon.1,Central African Republic,Congo,Côte d'Ivoire,Democratic Republic of Congo.1,Ecuador.1,Gabon,Ghana,Guinea,Indonesia.1,Madagascar.1,Nigeria,Papua New Guinea.1,Philippines.1,Sierra Leone,Sri Lanka.1,Tanzania.1,Thailand.1,Trinidad & Tobago,Viet Nam.1
0,60.57,40.82,51.78,58.02,32.29,58.49,171.43,,35.21,41.28,171.55,,84.87,79.56,,49.3,65.5,90.37,74.2,,89.75,,,,,,85.66,53.76,,28.33,36.75,19.21,33.41,4.52,19.06,43.43,,34.37,29.68,32.45,70.52,26.6,34.23,26.17,26.9,17.01,37.72,62.59,36.92
1,50.68,49.5,52.42,55.02,28.23,52.73,171.43,,36.18,23.99,227.42,,70.94,86.56,44.14,47.25,64.53,,50.38,,70.32,,,,,,91.12,22.9,,25.01,36.64,18.55,32.27,,17.84,43.58,,30.25,29.92,22.76,59.03,29.48,34.61,,25.29,17.11,18.37,62.59,30.73
2,28.95,49.16,43.53,59.23,28.76,49.91,180.0,,29.08,8.75,182.51,,48.68,58.25,44.14,44.37,57.96,31.97,48.91,,34.96,,,55.74,,,44.92,24.01,47.16,24.25,33.93,19.75,31.76,,23.31,51.52,,23.75,24.92,22.62,39.5,39.1,42.48,,31.85,14.84,20.3,69.29,30.71
3,47.64,38.28,27.33,58.27,23.25,54.27,188.57,,27.66,14.49,255.54,,57.34,79.31,,51.77,84.92,32.44,45.21,,54.49,,115.53,54.2,,,11.87,,41.8,17.4,23.89,18.44,27.7,,19.52,48.11,,27.47,28.49,36.27,36.08,54.8,46.45,,28.89,11.88,18.29,72.2,34.53
4,152.61,62.16,79.92,60.68,88.32,81.36,203.53,,76.42,25.87,290.6,,92.41,157.91,,80.12,149.08,88.14,49.42,71.99,88.27,,173.51,99.62,,,,,41.45,29.85,32.74,8.77,29.78,,63.29,27.76,,61.33,91.38,43.99,51.55,95.64,94.66,,71.99,24.0,18.79,64.14,86.01
5,140.17,86.76,76.99,56.69,85.26,88.23,188.6,51.12,173.3,36.3,284.24,87.35,125.3,162.79,,97.38,83.98,95.84,54.93,98.99,69.26,,,106.3,,,,,42.34,52.08,57.19,27.28,59.4,28.35,143.62,40.92,,92.26,95.67,58.73,,66.31,104.31,,93.24,44.61,36.84,63.89,95.18
6,110.04,62.53,57.18,51.97,80.95,92.78,188.57,68.04,141.13,28.14,332.11,94.72,95.66,123.44,,100.91,95.02,77.7,55.44,,81.47,,,76.31,,,,,40.45,51.02,45.07,14.19,57.7,32.89,97.51,39.91,,,58.35,61.06,,63.75,68.91,,,32.2,43.35,63.25,57.42
7,184.0,118.52,100.07,52.79,43.64,98.26,188.57,85.05,167.92,29.37,286.78,58.74,108.75,136.12,,126.55,153.74,105.28,56.42,,121.89,,112.26,79.74,,,,,40.19,38.9,38.36,,39.29,45.36,61.19,37.9,,,58.43,49.48,,75.43,72.91,,,92.48,21.85,60.63,56.14
8,179.9,90.7,131.09,52.22,66.83,92.66,188.57,63.14,110.6,30.95,215.45,50.35,101.52,101.69,,111.76,104.85,75.43,55.65,,130.83,,99.41,81.87,,,,,35.36,36.46,37.86,,40.14,44.28,66.63,50.26,,,59.37,48.25,,59.15,76.66,,,28.19,27.33,60.29,65.87
9,105.19,65.88,98.71,46.57,88.41,79.55,188.57,,78.05,22.9,177.27,43.49,77.64,80.9,,,60.82,59.73,45.33,,119.7,,,64.89,,,,,,31.3,29.71,,38.81,88.18,47.48,59.01,,,46.55,38.05,,37.7,60.14,,,23.52,31.31,79.23,50.7
