Calendar_years,Austria,Cyprus,Denmark,Finland,France,Germany,Italy,Netherlands,Portugal,Spain,Sweden,Japan,Norway
1990,4.9,2.83,3.81,2.98,3.73,3.99,5.31,3.03,4.12,3.62,3.43,10.26,3.31
1991,4.57,2.8,3.67,2.72,3.43,3.84,5.62,2.95,4.27,3.5,3.29,11.88,3.16
1992,4.99,2.87,3.79,2.46,2.31,4.0,5.86,3.13,4.95,3.5,3.11,12.62,3.12
1993,4.97,2.6,3.48,1.94,2.03,3.62,4.59,2.8,4.27,2.79,2.65,14.57,2.46
1994,4.58,3.18,4.45,2.73,2.4,4.18,4.68,3.26,4.38,2.76,3.79,14.69,3.29
1995,5.18,4.26,5.57,3.97,3.69,5.02,5.7,4.03,6.24,4.45,4.85,17.72,4.54
1996,5.42,4.13,4.81,3.22,3.3,4.17,5.92,3.65,5.92,4.18,3.96,15.24,3.9
1997,4.37,4.04,4.96,3.5,2.76,4.03,5.45,3.67,5.04,3.57,4.35,14.22,4.11
1998,3.97,4.61,4.92,3.42,2.78,4.04,5.53,3.67,4.88,3.62,4.41,13.52,3.9
1999,3.28,4.39,3.93,2.6,2.55,3.42,5.16,3.11,4.65,3.23,3.51,15.32,3.35
2000,3.05,3.58,3.45,2.29,2.15,2.83,4.44,2.81,3.95,2.69,3.03,12.92,2.98
2001,2.93,3.58,3.19,1.98,1.99,2.63,4.33,2.55,3.87,2.54,2.54,8.6,2.86
2002,2.86,4.05,3.09,1.84,2.07,2.73,4.57,2.6,3.9,2.58,2.55,8.13,3.09
2003,3.18,4.92,3.57,2.13,2.5,3.18,5.47,3.2,4.61,3.0,2.94,8.19,3.48
2004,3.33,5.23,3.96,2.34,2.72,3.33,6.01,3.47,4.9,3.23,3.08,8.75,3.84
2005,3.77,5.28,4.28,2.84,2.75,4.06,6.13,3.75,4.88,3.22,2.99,8.22,4.11
2006,4.13,5.34,4.43,2.94,2.97,4.33,6.29,3.96,4.77,3.42,3.16,8.16,3.89
2007,4.27,5.76,4.82,3.25,3.41,4.69,7.02,4.45,5.08,3.85,3.53,8.09,4.47
2008,4.74,5.67,5.4,3.72,3.86,5.13,7.87,5.05,5.68,4.31,3.76,8.32,4.69
2009,6.95,5.53,5.29,3.51,3.79,4.75,7.68,4.7,5.3,4.16,3.55,6.07,4.02
2010,6.69,5.21,5.44,3.69,3.62,4.76,7.34,4.57,4.93,3.92,3.99,6.39,4.48
2011,8.32,6.06,6.92,5.36,4.13,5.1,8.52,5.98,5.35,4.42,5.58,7.35,5.78
2012,8.38,6.36,6.72,4.8,3.92,4.74,8.49,5.83,5.69,4.47,5.2,7.57,5.48
2013,8.62,6.47,6.36,4.29,3.92,5.65,8.99,5.74,5.79,4.53,4.34,6.05,5.05
2014,8.63,6.48,6.43,4.31,3.77,5.72,8.85,5.71,5.73,4.44,4.11,5.68,7.5
2015,7.44,5.3,5.85,3.9,3.11,5.18,7.48,5.38,4.99,3.82,3.82,5.6,5.81
2016,5.64,5.3,4.94,3.67,3.26,5.05,7.45,4.77,4.93,3.73,3.48,6.21,5.56
2017,6.22,5.5,5.03,4.1,3.4,5.34,7.67,4.83,5.04,3.84,3.57,5.95,5.63
2018,6.63,5.79,5.3,4.24,3.68,5.49,8.12,4.68,5.36,4.1,3.24,5.8,5.75
