,Calendar years,Belgium,Bulgaria,Czech Republic,Hungary,Latvia,Lithuania,Luxembourg,Poland,Slovakia,Slovenia,Russian Federation,Switzerland,USA
0,1990,3.27,,,,,,,,,,,4.83,2.97
1,1991,2.92,,,,,,,,,,,4.36,2.81
2,1992,3.05,,,,,,,,,,,4.52,2.58
3,1993,2.78,,,,1.84,,,,,,,4.27,2.47
4,1994,3.42,,,3.88,2.21,,,,,,,4.5,3.4
5,1995,4.88,,,5.04,3.88,,,5.67,,,,6.32,4.04
6,1996,4.04,,,4.62,4.18,,,4.37,,,,5.43,3.43
7,1997,3.98,,4.31,3.89,4.58,4.74,,3.54,3.39,,,4.79,4.11
8,1998,4.19,,5.1,3.75,4.91,4.75,,3.63,3.48,,,5.04,3.77
9,1999,3.55,,3.91,3.44,4.2,4.34,4.95,3.19,2.86,4.72,,4.82,3.43
10,2000,3.22,,3.36,2.72,3.97,3.62,4.23,2.81,2.44,3.56,,4.09,3.45
11,2001,3.0,,2.91,2.59,3.28,3.25,4.07,2.57,2.26,3.05,,4.09,3.09
12,2002,3.05,2.15,2.99,2.81,3.22,3.39,4.29,2.11,2.2,3.1,,4.46,2.92
13,2003,3.6,2.68,3.1,3.15,3.35,3.79,5.28,2.12,2.47,3.74,,5.12,2.92
14,2004,3.87,2.93,3.46,3.47,3.72,3.71,5.79,2.26,2.7,3.73,,5.69,2.85
15,2005,4.1,2.92,3.79,3.71,3.93,3.78,6.04,2.56,2.79,3.72,,5.86,3.26
16,2006,4.32,2.9,3.95,3.66,4.29,4.02,6.44,2.76,3.05,3.98,,,3.2
17,2007,4.91,3.48,4.39,4.6,4.83,4.59,6.78,3.49,3.88,4.53,,,3.47
18,2008,5.46,4.05,5.76,5.47,5.89,5.44,7.52,4.45,5.02,4.98,,,
19,2009,5.26,3.84,5.16,4.97,6.1,5.16,7.29,3.49,5.08,4.77,,5.3,3.67
20,2010,5.18,3.62,5.01,5.02,6.1,5.37,7.11,3.64,4.84,4.31,7.03,6.59,3.91
21,2011,6.48,4.16,6.58,6.08,8.67,7.81,8.28,4.14,6.06,4.8,7.75,,5.19
22,2012,6.2,3.44,7.13,6.07,8.08,7.09,7.9,4.16,6.71,4.48,8.62,,5.68
23,2013,6.24,3.59,7.0,5.42,7.52,6.6,8.19,3.92,6.82,4.78,8.69,,5.45
24,2014,,3.75,6.61,4.86,6.89,6.55,7.92,3.85,6.67,4.62,7.65,,4.99
25,2015,,3.45,5.75,4.16,6.57,6.06,6.97,3.28,5.6,4.03,6.43,,4.72
26,2016,,3.79,6.14,4.31,6.46,6.08,7.24,3.17,5.74,3.96,6.65,,4.39
27,2017,,4.64,6.58,4.83,6.69,6.29,7.56,3.45,6.0,4.2,7.84,,4.45
28,2018,,4.58,7.27,4.83,6.6,6.4,,3.75,6.38,,7.38,,4.3
