,Country,Missing_Rows
0,Kenya,14
1,Tanzania,10
2,Bolivia (Plurinational State of),11
3,Burundi,8
4,Cameroon,10
5,Costa Rica,1
6,Cuba,1
7,Democratic Republic of Congo,23
8,Ecuador,4
9,Haiti,18
10,Jamaica,6
11,Madagascar,18
12,Malawi,8
13,Mexico,10
14,Nicaragua,13
15,Panama,20
16,Papua New Guinea,2
17,Peru,4
18,Rwanda,13
19,Sri Lanka,27
20,Zambia,7
21,Angola,22
22,Indonesia,17
23,Philippines,11
24,Thailand,26
25,Viet Nam,28
26,Angola.1,6
27,Benin,26
28,Burundi.1,22
29,Cameroon.1,10
30,Central African Republic,6
31,Congo,22
32,Côte d'Ivoire,1
33,Democratic Republic of Congo.1,17
34,Ecuador.1,4
35,Gabon,9
36,Ghana,22
37,Guinea,23
38,Indonesia.1,11
39,Madagascar.1,11
40,Nigeria,24
41,Papua New Guinea.1,2
42,Philippines.1,5
43,Sierra Leone,26
44,Sri Lanka.1,23
45,Tanzania.1,10
46,Thailand.1,3
47,Trinidad & Tobago,19
48,Viet Nam.1,5
